global_step,episode,raw_episode_return,episode_length,current_raw_episode_return,current_training_episode_return,epsilon,loss,q_mean,q_max,target_mean,gradient_norm,replay_size,steps_per_second,sps,optimizer_updates,optimizer_updated,target_sync_count,last_target_sync_step,raw_reward,training_reward,action_source
140,0,,,1.0,1.0,0.78185,5.810498259961605e-05,0.04485507309436798,0.060738250613212585,0.037469930946826935,0.007229389622807503,140,166.27552329360233,166.27552329360233,28,True,2,100,0.0,0.0,random
141,0,,,1.0,1.0,0.781,,,,,,141,167.0205290752505,167.0205290752505,28,False,2,100,0.0,0.0,random
142,0,,,1.0,1.0,0.78015,,,,,,142,167.83697498123152,167.83697498123152,28,False,2,100,0.0,0.0,random
143,0,,,1.0,1.0,0.7793,,,,,,143,168.73313627896943,168.73313627896943,28,False,2,100,0.0,0.0,random
144,0,,,1.0,1.0,0.7784500000000001,6.177607428980991e-05,0.046531323343515396,0.06370459496974945,0.03749081492424011,0.008451159112155437,144,166.09791587438494,166.09791587438494,29,True,2,100,0.0,0.0,random
145,0,,,1.0,1.0,0.7776000000000001,,,,,,145,166.79661465823986,166.79661465823986,29,False,2,100,0.0,0.0,random
146,0,,,1.0,1.0,0.77675,,,,,,146,167.50568657940968,167.50568657940968,29,False,2,100,0.0,0.0,random
147,0,,,1.0,1.0,0.7759,,,,,,147,168.21987779480784,168.21987779480784,29,False,2,100,0.0,0.0,greedy
148,0,,,1.0,1.0,0.77505,0.00011383432865841314,0.0470467209815979,0.0661015510559082,0.03755118325352669,0.009842717088758945,148,166.1897134182718,166.1897134182718,30,True,2,100,0.0,0.0,random
149,0,,,1.0,1.0,0.7742,,,,,,149,166.90114972240715,166.90114972240715,30,False,2,100,0.0,0.0,random
150,0,,,1.0,1.0,0.77335,,,,,,150,167.69294750686774,167.69294750686774,30,False,2,100,0.0,0.0,random
151,0,,,1.0,1.0,0.7725,,,,,,151,168.51459850202488,168.51459850202488,30,False,2,100,0.0,0.0,greedy
152,0,,,1.0,1.0,0.7716500000000001,1.0681902494980022e-05,0.03846871480345726,0.0423712395131588,0.03744988515973091,0.0031903686467558146,152,166.8219647549699,166.8219647549699,31,True,2,100,0.0,0.0,random
153,0,,,1.0,1.0,0.7708,,,,,,153,167.53401105343994,167.53401105343994,31,False,2,100,0.0,0.0,random
154,0,,,1.0,1.0,0.76995,,,,,,154,168.26143543674772,168.26143543674772,31,False,2,100,0.0,0.0,random
155,0,,,1.0,1.0,0.7691,,,,,,155,169.03738877341297,169.03738877341297,31,False,2,100,0.0,0.0,random
156,0,,,1.0,1.0,0.76825,0.00013063281949143857,0.04503336921334267,0.06875568628311157,0.037459779530763626,0.010157113894820213,156,166.97442765137572,166.97442765137572,32,True,2,100,0.0,0.0,random
157,0,,,1.0,1.0,0.7674000000000001,,,,,,157,167.66428697866183,167.66428697866183,32,False,2,100,0.0,0.0,random
158,0,,,1.0,1.0,0.7665500000000001,,,,,,158,168.41670814251194,168.41670814251194,32,False,2,100,0.0,0.0,random
159,0,,,1.0,1.0,0.7657,,,,,,159,169.16147931476067,169.16147931476067,32,False,2,100,0.0,0.0,greedy
160,0,,,1.0,1.0,0.76485,7.191812619566917e-05,0.03900931030511856,0.0690460130572319,0.037514664232730865,0.005808166228234768,160,166.53491325672186,166.53491325672186,33,True,2,100,0.0,0.0,random
161,0,,,1.0,1.0,0.764,,,,,,161,167.1330821602041,167.1330821602041,33,False,2,100,0.0,0.0,random
